Client,DepartementId,DepartementName,DivisionId,DivisionName,EmployeeActionReasonTypeCode,EmployeeActionReasonTypeText,EmployeeActionTypeCode,EmployeeActionTypeText,EmployeeAssignedCompanyCode,EmployeeAssignedCompanyText,EmployeeAssignedCostCenterId,EmployeeAssignedCostCenterText,EmployeeAssignedEmployeeGroupCode,EmployeeAssignedEmployeeGroupText,EmployeeAssignedEndDate,EmployeeAssignedPersonnelAreaCode,EmployeeAssignedPersonnelAreaText,EmployeeAssignedPersonnelSubareaCode,EmployeeAssignedPersonnelSubareaText,EmployeeAssignedSMJDate,EmployeeAssignedStartDate,EmployeeAssignedWorkContractCode,EmployeeAssignedWorkContractText,EmployeeAssignmentId,EmployeeCoorporateEmail,EmployeeFullName,EmployeeHiringDate,EmployeeId,EmployeeMobilePhoneNumber,EmployeePersonalEmail,EmployeePlannedPensionDate,EmploymentStatusCode,EmploymentStatusText,EndPeriod,JobId,JobName,OrganizationId,OrganizationName,PositionId,PositionName,PositionNameLongText,StartPeriod,SuperiorEmployeeId,SuperiorFullName,SuperiorPjsEmployeeId,SuperiorPjsFullName
100,10147001,Finance Department,10108001,Financial Planning Division,1,Hiring,1,Hiring,1010,Persero,DC100001,Manager Accounts Payable Operations,1,PWTT,2958465,Z001,Kantor Pertamina Subholding 1,Z001,Kantor Subholding 1,45658,45658,1102,Regular emp.,EMASG001,,Brenda Spears,34015,DUMNC111,123456789,,46569,3,Active,999912,987654567,Generalist/ ExecutionInvoice,D30287269,Invoice and Payment Management,DP00000001,Head of Invoice and Payment Downstream,Head of Invoice and Payment Downstream,202501,,,,
100,10147002,Human Resources Department,10108002,HR Operations Division,1,Hiring,1,Hiring,1010,Persero,DC100002,Senior Manager Accounts Receivable Operations,1,PWTT,2958465,Z002,Kantor Pertamina Subholding 2,Z002,Kantor Subholding 2,45658,45658,1103,Regular emp.,EMASG002,,Zeyna Leordygaexalcsezebriskiy,34015,DUMNC112,123456789,,46569,3,Active,999912,987654568,Generalist/ ExecutionAccountsPayable,D41758321,Accounts Payable Management,DP00000002,Manager Accounts Payable Operations,Manager Accounts Payable Operations,202501,,,,
100,10147001,Information Technology Department,10108001,IT Management Division,1,Hiring,1,Hiring,1010,Persero,DC100003,Head of Financial Reporting,1,PWTT,2958465,Z003,Kantor Pertamina Subholding 3,Z003,Kantor Subholding 3,45658,45658,1104,Regular emp.,EMASG003,,Elena,34015,DUMNC113,123456789,,46569,3,Active,999912,987654569,Generalist/ ExecutionAccountsReceivable,D62819473,Accounts Receivable Management,DP00000003,Senior Manager Accounts Receivable Operations,Senior Manager Accounts Receivable Operations,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147002,Legal Department,10108002,Legal Advisory Division,1,Hiring,1,Hiring,1010,Persero,DC100004,Finance Planning Manager,6,PWTT,2958465,Z004,Kantor Pertamina Subholding 4,Z004,Kantor Subholding 4,45658,45658,1105,Regular emp.,EMASG004,,Brenda Spears,34015,DUMNC114,123456789,,46569,3,Active,999912,987654570,Generalist/ ExecutionFinancialReporting,D73520684,Financial Reporting Management,DP00000004,Head of Financial Reporting,Head of Financial Reporting,202501,DUM0733741,Andika Pratama 3,,
100,10147003,Procurement Department,10108003,Procurement Operations Division,1,Hiring,1,Hiring,1010,Persero,DC100005,Budget Management Lead,6,PWTT,2958465,Z005,Kantor Pertamina Subholding 5,Z005,Kantor Subholding 5,45658,45658,1106,Regular emp.,EMASG005,,Zeyna Leordygaexalcsezebriskiy,34015,DUMNC115,123456789,,46569,3,Active,999912,987654571,Generalist/ ExecutionGeneralAccounting,D84931752,General Accounting Management,DP00000005,Finance Planning Manager,Finance Planning Manager,202501,DUM0733741,Andika Pratama 3,,
100,10147004,Marketing Department,10108004,Marketing Strategy Division,1,Hiring,1,Hiring,1010,Persero,DC100006,Corporate Finance Manager,6,PWTT,2958465,Z006,Kantor Pertamina Subholding 6,Z006,Kantor Subholding 6,45658,45658,1107,Regular emp.,EMASG006,,Elena,34015,DUMNC116,123456789,,46569,3,Active,999912,987654572,Generalist/ ExecutionTax,D95142863,Tax Management,DP00000006,Budget Management Lead,Budget Management Lead,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147005,Sales Department,10108005,Sales Operations Division,1,Hiring,1,Hiring,3100,Perusahaan Gas Negara,DC100007,Treasury Operations Head,1,PWTT,2958465,Z007,Kantor Pertamina Subholding 7,Z007,Kantor Subholding 7,45658,45658,1108,Regular emp.,EMASG007,,Ryu Oliver,34015,DUMNC117,123456789,,46569,3,Active,999912,987654573,Generalist/ ExecutionTreasury,D16352974,Treasury Management,DP00000007,Corporate Finance Manager,Corporate Finance Manager,202501,,,,
100,10147006,Operations Department,10108006,Business Operations Division,1,Hiring,1,Hiring,3100,Perusahaan Gas Negara,DC100008,Cash Management Supervisor,1,PWTT,2958465,Z008,Kantor Pertamina Subholding 8,Z008,Kantor Subholding 8,45658,45658,1109,Regular emp.,EMASG008,,Ana Nia Septi,34015,DUMNC118,123456789,,46569,3,Active,999912,987654574,Generalist/ ExecutionFinancialPlanning,D27463185,Financial Planning and Analysis,DP00000008,Treasury Operations Head,Treasury Operations Head,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147007,Risk Management Department,10108007,Enterprise Risk Division,1,Hiring,1,Hiring,3100,Perusahaan Gas Negara,DC100009,Tax Management Manager,1,PWTT,2958465,Z009,Kantor Pertamina Subholding 9,Z009,Kantor Subholding 9,45658,45658,1110,Regular emp.,EMASG009,,Erwin Michaeledwardcalvinl,34015,DUMNC119,123456789,,46569,3,Active,999912,987654575,Generalist/ ExecutionCorporateFinance,D38574296,Corporate Finance Management,DP00000009,Cash Management Supervisor,Cash Management Supervisor,202501,DUM0733741,Andika Pratama 3,,
100,10147008,Internal Audit Department,10108008,Internal Audit Division,1,Hiring,1,Hiring,3100,Perusahaan Gas Negara,DC100010,General Accounting Lead,1,PWTT,2958465,Z010,Kantor Pertamina Subholding 10,Z010,Kantor Subholding 10,45658,45658,1111,Regular emp.,EMASG010,,Nicholas,34015,DUMNC120,123456789,,46569,3,Active,999912,987654576,Generalist/ ExecutionFinancialControl,D49685317,Financial Control Management,DP00000010,Tax Management Manager,Tax Management Manager,202501,DUM0733741,Andika Pratama 3,,
100,10147009,Corporate Strategy Department,10108009,Strategic Planning Division,1,Hiring,1,Hiring,3100,Perusahaan Gas Negara,DC100011,Financial Control Manager,0,PWTT,2958465,Z011,Kantor Pertamina Subholding 11,Z011,Kantor Subholding 11,45658,45658,1112,Regular emp.,EMASG011,,Ryu Oliver,34015,DUMNC121,123456789,,46569,3,Active,999912,987654577,Generalist/ ExecutionBudget,D50796428,Budget Management,DP00000011,General Accounting Lead,General Accounting Lead,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
