Client,DepartementId,DepartementName,DivisionId,DivisionName,EmployeeActionReasonTypeCode,EmployeeActionReasonTypeText,EmployeeActionTypeCode,EmployeeActionTypeText,EmployeeAssignedCompanyCode,EmployeeAssignedCompanyText,EmployeeAssignedPersonnelAreaCode,EmployeeAssignedPersonnelAreaText,EmployeeAssignedPersonnelSubareaCode,EmployeeAssignedPersonnelSubareaText,EmployeeAssignedEmployeeGroupCode,EmployeeAssignedCostCenterId,EmployeeAssignedCostCenterText,EmployeeAssignedEmployeeGroupText,EmployeeAssignedEndDate,EmployeeAssignedSMJDate,EmployeeAssignedStartDate,EmployeeAssignedWorkContractCode,EmployeeAssignedWorkContractText,EmployeeAssignmentId,EmployeeCoorporateEmail,EmployeeFullName,EmployeeHiringDate,EmployeeId,EmployeeMobilePhoneNumber,EmployeePersonalEmail,EmployeePlannedPensionDate,EmploymentStatusCode,EmploymentStatusText,EndPeriod,JobId,JobName,OrganizationId,OrganizationName,PositionId,PositionName,PositionNameLongText,StartPeriod,SuperiorEmployeeId,SuperiorFullName,SuperiorPjsEmployeeId,SuperiorPjsFullName
100,10147001,Finance Department,10108001,Financial Planning Division,01,Hiring,01,Hiring,1010,PT Pertamina (Persero),Z001,Kantor Pertamina Holding 1,Z001,Kantor Holding 1,1,DC100001,Manager Accounts Payable Operations,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1102,Regular emp.,EMASG001,,Andika Pratama 4,1993-02-15T00:00:00,DUM0233741,123456789,,2027-07-01T00:00:00,3,Active,999912,987654567,Generalist/ ExecutionInvoice,D30287269,Invoice and Payment Management,DP00000001,Head of Invoice and Payment Downstream,Head of Invoice and Payment Downstream,202501,,,,
100,10147002,Human Resources Department,10108002,HR Operations Division,01,Hiring,01,Hiring,1010,PT Pertamina (Persero),Z001,Kantor Pertamina Holding 1,Z001,Kantor Holding 1,1,DC100002,Senior Manager Accounts Receivable Operations,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1103,Regular emp.,EMASG002,,Budi Santoso 4,1993-02-15T00:00:00,DUM0233742,123456789,,2027-07-01T00:00:00,3,Active,999912,987654568,Generalist/ ExecutionAccountsPayable,D41758321,Accounts Payable Management,DP00000002,Manager Accounts Payable Operations,Manager Accounts Payable Operations,202501,,,,
100,10147001,Information Technology Department,10108001,IT Management Division,Y4,Rotasi,Y4,Rotasi,2222,PT Pertamina Patra Niaga,CT00,Kantor Pusat SH C&T,T001,KP Jakarta KPI,1,DC100003,Head of Financial Reporting,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1104,Regular emp.,EMASG003,,Citra Lestari 4,1993-02-15T00:00:00,DUM0233743,123456789,,2027-07-01T00:00:00,3,Active,999912,987654569,Generalist/ ExecutionAccountsReceivable,D62819473,Accounts Receivable Management,DP00000273,(mov) Senior Manager Accounts Receivable Operations,(mov) Senior Manager Accounts Receivable Operations,202501,DUM0233741,Andika Pratama 4,DUM0233742,Budi Santoso 4
100,10147002,Legal Department,10108002,Legal Advisory Division,ZH,Perbantuan (Subholding) non SAP,ZH,Perbantuan (Subholding) non SAP,2222,PT Pertamina Patra Niaga,CT00,Kantor Pusat SH C&T,T001,KP Jakarta KPI,1,DC100004,Finance Planning Manager,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1105,Regular emp.,EMASG004,,Dimas Saputra 4,1993-02-15T00:00:00,DUM0233744,123456789,,2027-07-01T00:00:00,3,Active,999912,987654570,Generalist/ ExecutionFinancialReporting,D73520684,Financial Reporting Management,DP00000274,(mov) Head of Financial Reporting,(mov) Head of Financial Reporting,202501,DUM0233741,Andika Pratama 4,,
100,10147003,Procurement Department,10108003,Procurement Operations Division,Y2,Promosi,Y2,Promosi,1010,PT Pertamina (Persero),Z001,Kantor Pertamina Holding 1,Z001,Kantor Holding 1,1,DC100005,Budget Management Lead,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1106,Regular emp.,EMASG005,,Eko Nugroho 4,1993-02-15T00:00:00,DUM0233745,123456789,,2027-07-01T00:00:00,3,Active,999912,987654571,Generalist/ ExecutionGeneralAccounting,D84931752,General Accounting Management,DP00000275,(mov) Finance Planning Manager,(mov) Finance Planning Manager,202501,DUM0233741,Andika Pratama 4,,
100,10147004,Marketing Department,10108004,Marketing Strategy Division,Y5,Demosi,Y5,Demosi,1010,PT Pertamina (Persero),Z001,Kantor Pertamina Holding 1,Z001,Kantor Holding 1,1,DC100006,Corporate Finance Manager,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1107,Regular emp.,EMASG006,,Fajar Ramadhan 4,1993-02-15T00:00:00,DUM0233746,123456789,,2027-07-01T00:00:00,3,Active,999912,987654572,Generalist/ ExecutionTax,D95142863,Tax Management,DP00000276,(mov) Budget Management Lead,(mov) Budget Management Lead,202501,DUM0233741,Andika Pratama 4,DUM0233742,Budi Santoso 4
100,10147005,Sales Department,10108005,Sales Operations Division,92,tugas belajar,92,tugas belajar,1010,PT Pertamina (Persero),Z001,Kantor Pertamina Holding 1,Z001,Kantor Holding 1,1,DC100007,Treasury Operations Head,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1108,Regular emp.,EMASG007,,Gilang Permana 4,1993-02-15T00:00:00,DUM0233747,123456789,,2027-07-01T00:00:00,3,Active,999912,987654573,Generalist/ ExecutionTreasury,D16352974,Treasury Management,DP00000277,(mov) Corporate Finance Manager,(mov) Corporate Finance Manager,202501,,,,
100,10147006,Operations Department,10108006,Business Operations Division,Y4,Rotasi,Y4,Rotasi,3100,PT Perusahaan Gas Negara,Z013,Kantor Pertamina Subholding 13,Z013,Kantor Subholding 13,1,DC100008,Cash Management Supervisor,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1109,Regular emp.,EMASG008,,Hendra Wijaya 4,1993-02-15T00:00:00,DUM0233748,123456789,,2027-07-01T00:00:00,3,Active,999912,987654574,Generalist/ ExecutionFinancialPlanning,D27463185,Financial Planning and Analysis,DP00000278,(mov) Treasury Operations Head,(mov) Treasury Operations Head,202501,DUM0233741,Andika Pratama 4,DUM0233742,Budi Santoso 4
100,10147007,Risk Management Department,10108007,Enterprise Risk Division,ZH,Perbantuan (Subholding) non SAP,ZH,Perbantuan (Subholding) non SAP,3100,PT Perusahaan Gas Negara,Z013,Kantor Pertamina Subholding 13,Z013,Kantor Subholding 13,1,DC100009,Tax Management Manager,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1110,Regular emp.,EMASG009,,Indra Kurniawan 4,1993-02-15T00:00:00,DUM0233749,123456789,,2027-07-01T00:00:00,3,Active,999912,987654575,Generalist/ ExecutionCorporateFinance,D38574296,Corporate Finance Management,DP00000279,(mov) Cash Management Supervisor,(mov) Cash Management Supervisor,202501,DUM0233741,Andika Pratama 4,,
100,10147008,Internal Audit Department,10108008,Internal Audit Division,Y2,Promosi,Y2,Promosi,2222,PT Pertamina Patra Niaga,2101,Sumatera 1,TE44,PklBrndn UP KPI,1,DC100010,General Accounting Lead,PWTT,9999-12-31T00:00:00,2025-01-01T00:00:00,2025-01-01T00:00:00,1111,Regular emp.,EMASG010,,Joko Susanto 4,1993-02-15T00:00:00,DUM0233750,123456789,,2027-07-01T00:00:00,3,Active,999912,987654576,Generalist/ ExecutionFinancialControl,D49685317,Financial Control Management,DP00000280,(mov) Tax Management Manager,(mov) Tax Management Manager,202501,DUM0233741,Andika Pratama 4,,
