Client,DepartementId,DepartementName,DivisionId,DivisionName,EmployeeActionReasonTypeCode,EmployeeActionReasonTypeText,EmployeeActionTypeCode,EmployeeActionTypeText,EmployeeAssignedCompanyCode,EmployeeAssignedCompanyText,EmployeeAssignedCostCenterId,EmployeeAssignedCostCenterText,EmployeeAssignedEmployeeGroupCode,EmployeeAssignedEmployeeGroupText,EmployeeAssignedEndDate,EmployeeAssignedPersonnelAreaCode,EmployeeAssignedPersonnelAreaText,EmployeeAssignedPersonnelSubareaCode,EmployeeAssignedPersonnelSubareaText,EmployeeAssignedSMJDate,EmployeeAssignedStartDate,EmployeeAssignedWorkContractCode,EmployeeAssignedWorkContractText,EmployeeAssignmentId,EmployeeCoorporateEmail,EmployeeFullName,EmployeeHiringDate,EmployeeId,EmployeeMobilePhoneNumber,EmployeePersonalEmail,EmployeePlannedPensionDate,EmploymentStatusCode,EmploymentStatusText,EndPeriod,JobId,JobName,OrganizationId,OrganizationName,PositionId,PositionName,PositionNameLongText,StartPeriod,SuperiorEmployeeId,SuperiorFullName,SuperiorPjsEmployeeId,SuperiorPjsFullName
100,10147001,Finance Department,10108001,Financial Planning Division,01,Hiring,01,Hiring,1010,Persero,DC100001,Head of Invoice and Payment Downstream,4,PHK,9999-12-31T00:00:00,Z001,Kantor Pertamina Subholding 1,Z001,Kantor Subholding 1,2025-01-01T00:00:00,2025-01-01T00:00:00,1102,Regular emp.,EMASG001,,Andika Pratama 3,1993-02-15T00:00:00,DUM0133741,123456789,,2027-07-01T00:00:00,3,Active,999912,987654567,Generalist/ ExecutionInvoice,D30287269,Invoice and Payment Management,DP00000001,Manager Accounts Payable Operations,Manager Accounts Payable Operations,202501,,,,
100,10147002,Human Resources Department,10108002,HR Operations Division,01,Hiring,01,Hiring,1010,Persero,DC100002,Manager Accounts Payable Operations,4,PHK,9999-12-31T00:00:00,Z002,Kantor Pertamina Subholding 2,Z002,Kantor Subholding 2,2025-01-01T00:00:00,2025-01-01T00:00:00,1103,Regular emp.,EMASG002,,Budi Santoso 3,1993-02-15T00:00:00,DUM0133742,123456789,,2027-07-01T00:00:00,3,Active,999912,987654568,Generalist/ ExecutionAccountsPayable,D41758321,Accounts Payable Management,DP00000002,Senior Manager Accounts Receivable Operations,Senior Manager Accounts Receivable Operations,202501,,,,
100,10147001,Information Technology Department,10108001,IT Management Division,Y2,Promosi,Y2,Promosi,1010,Persero,DC100003,Senior Manager Accounts Receivable Operations,4,PHK,9999-12-31T00:00:00,Z003,Kantor Pertamina Subholding 3,Z003,Kantor Subholding 3,2025-01-01T00:00:00,2025-01-01T00:00:00,1104,Regular emp.,EMASG003,,Citra Lestari 3,1993-02-15T00:00:00,DUM0133743,123456789,,2027-07-01T00:00:00,3,Active,999912,987654569,Generalist/ ExecutionAccountsReceivable,D62819473,Accounts Receivable Management,DP00000273,Head of Financial Reporting,Head of Financial Reporting,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147002,Legal Department,10108002,Legal Advisory Division,Y4,Rotasi,Y4,Rotasi,2222,Pertamina Patra Niaga,DC100004,Head of Financial Reporting,4,PHK,9999-12-31T00:00:00,Z004,Kantor Pertamina Subholding 4,Z004,Kantor Subholding 4,2025-01-01T00:00:00,2025-01-01T00:00:00,1105,Regular emp.,EMASG004,,Dimas Saputra 3,1993-02-15T00:00:00,DUM0133744,123456789,,2027-07-01T00:00:00,3,Active,999912,987654570,Generalist/ ExecutionFinancialReporting,D73520684,Financial Reporting Management,DP00000274,Finance Planning Manager,Finance Planning Manager,202501,DUM0733741,Andika Pratama 3,,
100,10147003,Procurement Department,10108003,Procurement Operations Division,Y5,Demosi,91,Cuti Panjang,1010,Persero,DC100005,Finance Planning Manager,4,PHK,9999-12-31T00:00:00,Z005,Kantor Pertamina Subholding 5,Z005,Kantor Subholding 5,2025-01-01T00:00:00,2025-01-01T00:00:00,1106,Regular emp.,EMASG005,,Eko Nugroho 3,1993-02-15T00:00:00,DUM0133745,123456789,,2027-07-01T00:00:00,3,Active,999912,987654571,Generalist/ ExecutionGeneralAccounting,D84931752,General Accounting Management,DP00000275,Budget Management Lead,Budget Management Lead,202501,DUM0733741,Andika Pratama 3,,
100,10147004,Marketing Department,10108004,Marketing Strategy Division,ZH,Perbantuan (Subholding) non SAP,ZH,Perbantuan (Subholding) non SAP,2222,Pertamina Patra Niaga,DC100006,Budget Management Lead,4,PHK,9999-12-31T00:00:00,Z006,Kantor Pertamina Subholding 6,Z006,Kantor Subholding 6,2025-01-01T00:00:00,2025-01-01T00:00:00,1107,Regular emp.,EMASG006,,Fajar Ramadhan 3,1993-02-15T00:00:00,DUM0133746,123456789,,2027-07-01T00:00:00,3,Active,999912,987654572,Generalist/ ExecutionTax,D95142863,Tax Management,DP00000276,Corporate Finance Manager,Corporate Finance Manager,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147005,Sales Department,10108005,Sales Operations Division,92,tugas belajar,92,tugas belajar,1010,Persero,DC100007,Corporate Finance Manager,4,PHK,9999-12-31T00:00:00,Z007,Kantor Pertamina Subholding 7,Z007,Kantor Subholding 7,2025-01-01T00:00:00,2025-01-01T00:00:00,1108,Regular emp.,EMASG007,,Gilang Permana 3,1993-02-15T00:00:00,DUM0133747,123456789,,2027-07-01T00:00:00,3,Active,999912,987654573,Generalist/ ExecutionTreasury,D16352974,Treasury Management,DP00000277,Treasury Operations Head,Treasury Operations Head,202501,,,,
100,10147006,Operations Department,10108006,Business Operations Division,Y2,Promosi,Y2,Promosi,2222,Pertamina Patra Niaga,DC100008,Treasury Operations Head,4,PHK,9999-12-31T00:00:00,Z008,Kantor Pertamina Subholding 8,Z008,Kantor Subholding 8,2025-01-01T00:00:00,2025-01-01T00:00:00,1109,Regular emp.,EMASG008,,Hendra Wijaya 3,1993-02-15T00:00:00,DUM0133748,123456789,,2027-07-01T00:00:00,3,Active,999912,987654574,Generalist/ ExecutionFinancialPlanning,D27463185,Financial Planning and Analysis,DP00000278,Cash Management Supervisor,Cash Management Supervisor,202501,DUM0733741,Andika Pratama 3,DUM0733742,Budi Santoso 3
100,10147007,Risk Management Department,10108007,Enterprise Risk Division,Y4,Rotasi,Y4,Rotasi,3100,Perusahaan Gas Negara,DC100009,Cash Management Supervisor,4,PHK,9999-12-31T00:00:00,Z009,Kantor Pertamina Subholding 9,Z009,Kantor Subholding 9,2025-01-01T00:00:00,2025-01-01T00:00:00,1110,Regular emp.,EMASG009,,Indra Kurniawan 3,1993-02-15T00:00:00,DUM0133749,123456789,,2027-07-01T00:00:00,3,Active,999912,987654575,Generalist/ ExecutionCorporateFinance,D38574296,Corporate Finance Management,DP00000279,Tax Management Manager,Tax Management Manager,202501,DUM0733741,Andika Pratama 3,,
100,10147008,Internal Audit Department,10108008,Internal Audit Division,Y5,Demosi,91,Cuti Panjang,2222,Pertamina Patra Niaga,DC100010,Tax Management Manager,4,PHK,9999-12-31T00:00:00,Z010,Kantor Pertamina Subholding 10,Z010,Kantor Subholding 10,2025-01-01T00:00:00,2025-01-01T00:00:00,1111,Regular emp.,EMASG010,,Joko Susanto 3,1993-02-15T00:00:00,DUM0133750,123456789,,2027-07-01T00:00:00,3,Active,999912,987654576,Generalist/ ExecutionFinancialControl,D49685317,Financial Control Management,DP00000280,General Accounting Lead,General Accounting Lead,202501,DUM0733741,Andika Pratama 3,,
