Client,DepartementId,DepartementName,DivisionId,DivisionName,EmployeeActionReasonTypeCode,EmployeeActionReasonTypeText,EmployeeActionTypeCode,EmployeeActionTypeText,EmployeeAssignedCompanyCode,EmployeeAssignedCompanyText,EmployeeAssignedCostCenterId,EmployeeAssignedCostCenterText,EmployeeAssignedEmployeeGroupCode,EmployeeAssignedEmployeeGroupText,EmployeeAssignedEndDate,EmployeeAssignedPersonnelAreaCode,EmployeeAssignedPersonnelAreaText,EmployeeAssignedPersonnelSubareaCode,EmployeeAssignedPersonnelSubareaText,EmployeeAssignedSMJDate,EmployeeAssignedStartDate,EmployeeAssignedWorkContractCode,EmployeeAssignedWorkContractText,EmployeeAssignmentId,EmployeeCoorporateEmail,EmployeeFullName,EmployeeHiringDate,EmployeeId,EmployeeMobilePhoneNumber,EmployeePersonalEmail,EmployeePlannedPensionDate,EmploymentStatusCode,EmploymentStatusText,EndPeriod,JobId,JobName,OrganizationId,OrganizationName,PositionId,PositionName,PositionNameLongText,StartPeriod,SuperiorEmployeeId,SuperiorFullName,SuperiorPjsEmployeeId,SuperiorPjsFullName
100,10147001,Dummy Department 01,10108001,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY001,Dummy Assigned Cost Center Text 01,1,PWTT,9999-12-31T00:00:00,DUM0,Dummy Area,DUM0,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY01,,Jennifer Ihdata,1993-02-15T00:00:00,DUMNC001,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,,,,
100,10147002,Dummy Department 02,10108002,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY002,Dummy Assigned Cost Center Text 02,1,PWTT,9999-12-31T00:00:00,DUM1,Dummy Area,DUM1,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY02,,Ziggy Zeordygaexelcsazabriskie,1993-02-15T00:00:00,DUMNC002,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,,,,
100,10147001,Dummy Department 01,10108001,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY001,Dummy Assigned Cost Center Text 01,1,PWTT,9999-12-31T00:00:00,DUM0,Dummy Area,DUM0,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY01,,Nathaniel,1993-02-15T00:00:00,DUMNC003,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,DUMUATPJS,Dummy UAT PJS Manager
100,10147002,Dummy Department 02,10108002,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY002,Dummy Assigned Cost Center Text 02,1,PWTT,9999-12-31T00:00:00,DUM1,Dummy Area,DUM1,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY02,,Jennifer Ihdata,1993-02-15T00:00:00,DUMNC004,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,,
100,10147003,Dummy Department 03,10108003,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY003,Dummy Assigned Cost Center Text 03,1,PWTT,9999-12-31T00:00:00,DUM2,Dummy Area,DUM2,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY03,,Ziggy Zeordygaexelcsazabriskie,1993-02-15T00:00:00,DUMNC005,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,,
100,10147004,Dummy Department 04,10108004,Dummy Division,0,Dummy Reason,01,Hiring,1010,Persero,DUMMY004,Dummy Assigned Cost Center Text 04,1,PWTT,9999-12-31T00:00:00,DUM3,Dummy Area,DUM3,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY04,,Nathaniel,1993-02-15T00:00:00,DUMNC006,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,DUMUATPJS,Dummy UAT PJS Manager
100,10147005,Dummy Department 05,10108005,Dummy Division,0,Dummy Reason,01,Hiring,3100,Perusahaan Gas Negara,DUMMY005,Dummy Assigned Cost Center Text 05,1,PWTT,9999-12-31T00:00:00,DUM4,Dummy Area,DUM4,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY05,,Vincent Benedict,1993-02-15T00:00:00,DUMNC007,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,,,
100,10147006,Dummy Department 06,10108006,Dummy Division,0,Dummy Reason,01,Hiring,3100,Perusahaan Gas Negara,DUMMY006,Dummy Assigned Cost Center Text 06,1,PWTT,9999-12-31T00:00:00,DUM5,Dummy Area,DUM5,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY06,,Anastasia Greta Elena,1993-02-15T00:00:00,DUMNC008,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,DUMUATPJS,Dummy UAT PJS Manager
100,10147007,Dummy Department 07,10108007,Dummy Division,0,Dummy Reason,01,Hiring,3100,Perusahaan Gas Negara,DUMMY007,Dummy Assigned Cost Center Text 07,1,PWTT,9999-12-31T00:00:00,DUM6,Dummy Area,DUM6,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY07,,Jeremy Calvinmichaeledwardfoeh,1993-02-15T00:00:00,DUMNC009,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,,
100,10147008,Dummy Department 08,10108008,Dummy Division,0,Dummy Reason,01,Hiring,3100,Perusahaan Gas Negara,DUMMY008,Dummy Assigned Cost Center Text 08,1,PWTT,9999-12-31T00:00:00,DUM7,Dummy Area,DUM7,Dummy Subarea,2025-01-01T00:00:00,2025-01-01T00:00:00,DUMASSIGNEDWORKCONTRACTCODE,Dummy Assigned Work Contract Text,DUMMY08,,Amanda,1993-02-15T00:00:00,DUMNC010,123456789,dummypersonalemail@company.com,2027-07-01T00:00:00,3,Active,999912,DUMJOBID,DUMMY JOB,DUMMYORGID,DUMMY ORG,DUMPOS,DUMMY POSITION,DUMMY POSITION LONG,202501,DUMUATMGR,Dummy UAT Manager,,
